2026-07-15,dfa84ae6,claude-fable-5,,,,CHAT-T-139,url+name w get_curated_recommendations — impl+deploy+test PROD conv675
2026-07-15,ea36286b,claude-opus-4-8,,,,CHAT-T-141,backfill 50 produktow 2026 + 37 zombie + override 8 (root cat) — 2561->2574
2026-07-15,ea36286b,claude-opus-4-8,,,,CHAT-T-142,konkatenacja kategorii w category_name (ADR-122) — 2591 wpisow, +467 WYPRZEDAZE, 7602 przywrocony
2026-07-15,ea36286b,claude-opus-4-8,,,,CHAT-T-144,usuniecie filtra visibility z pipeline (ADR-123 93a) — 436 vis=none re-embedowane, tabela 2591
2026-07-15,e710da33,claude-fable-5,120000,25000,1.20,CHAT-T-143,filtr available_for_order + deploy + testy PROD (deterministyczne 91a + korekta 93a)
2026-07-15,ea36286b,claude-opus-4-8,,,,CHAT-T-144-domkniecie,dobicie 15 vis=none bez wektora (decyzja 95a) — tabela 2606
2026-07-16,e65a99af,claude-fable-5,120000,9000,n/a,CHAT-T-138,SystemPrompt glebokosc+certyfikaty; deploy+test PROD conv 710/711
2026-07-16,ea36286b,claude-opus-4-8,,,,CHAT-T-138-D2,EN 250 do encyclopedia_chunks (merge do faq id 19, 3072) + test PROD conv 715/716
2026-07-16,d7dc6c0,text-embedding-3-large,0,0,0.02,CHAT-T-145,Eksperyment kategoria w embedding_name ODRZUCONY (ADR-125) - brama name spada 7641 -0.1415; rollback z dumpa
2026-07-17,980c2b1f,claude-opus-4-8,,,,CHAT-T-148,knowledge_gap=brak wynikow dla search_products (ADR-126); deploy 1 pliku + migracja 042 UPDATE 191; panel 339->196; test PROD Perdix 3 flaga false
2026-07-17,980c2b1f,claude-opus-4-8,,,,CHAT-T-149,search_diagnostics akumuluje tury (ADR-127); 1 linia SQL COALESCE||; test PROD wieloturowy tura1=1 tura2=2; zero migracji PG
2026-07-27,ed407341,claude-opus-5-1m,,,,CHAT-T-176,Diagnoza i naprawa zapisow cache: rozbicie system promptu (przyczyna A) + wykrycie przyczyny C (thinking = podwojny prefiks); deploy WORLD 1
2026-07-27,90f8e8f3,claude-opus-5-1m,,,,CHAT-T-177,Migracja Sonnet 5 + adaptive thinking effort=low (ADR-139): kod+testy 46/46, pomiar tokenizera 44934->61294 tok (+36.4%), shadow replay 5 rozmow bez 400; deploy czeka na autoryzacje
